subject,Question,Option A,Option B,Option C,Option D,Answer,Year,Explaination
Literature In English,"„I simply don't understand what's the matter with everybody today. Everybody let me down, and the speaker above is referring to   .",Fosuwa and Maidservant,Hannah and George,Aaron and Maanan,Lawyer B and Mrs. B,A,2010,
Literature In English,Maanan expresses dislike for Lawyer B because of   .,his condemnation of her choice ofcareer,his recent advances towards her,the betrayal of her father's trust,the betrayal of his wife's trust.,B,2010,
Literature In English,The traditional order in the play is represented by   .,Mrs. B,Hannah,Maanan,Aunt,D,2010,
Literature In English,Where does the play take place?,On the street,In George's place,In Aunt's house,"In Ofosu's place.
Questions 6 to 10 based on William
Shakes ear's Romeo and Juliet",D,2010,
Literature In English,"'0' deadly sin!O rude unthankfulness! Thy fault our law calls death, but the kind Prince, Taking thy part, hath rushed aside the law And turned that black word...' Deadly sin refers to the   .",suicide of Juliet,suicide of Romeo,murder of Paris,murder of TybaIt,D,2010,
Literature In English,The play is mostly written in .,blank verse,free verse,metres,foot.,B,2010,
Literature In English,"'0' serpent heart, hid with a flowering face!' The statement above refers to",Juliet,Romeo,Tybalt,Benvolio.,B,2010,
Literature In English,The spatial setting of the play is .,Athens,Verona,Padua,Venice,B,2010,
Literature In English,Romeo is banished to Mantua because he   .,kills Tybalt in a street duel,"marries Juliet without parental
consent",attends Capulet's party uninvited,"attempts to kill paris his rival.
Questions 11 to 13 are based on
Buchi Emecheta's The Joys of
Motherhood.",A,2010,
Literature In English,"In the novel, the society puts high value on   .",egalitarianism,male ascendancy,procreation,gender equity.,C,2010,
Literature In English,"The medicine man links the lump discovered on the head of Nnu Ego at birth, to the   .",possession of physical admirablequalities that makes her an epitome ofperfection.,"wound inflicted on the slave woman
buried with Agbadi‟s wife
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
3",coming back of the Agunwa to the society to live again,"ill-luck and tragic events attributed to 
a predestined fate",D,2010,
Literature In English,The constant companions of Nnaife's  family are   .,togetherness and happiness,poverty and hunger,sickness and joblessness,"disagreement and humiliation 
 
Questions 14 to 16 are based on 
Ferdinand Oyano's The Old Man and 
the Medal.",B,2010,
Literature In English,The disagreement between Mvondo and  Nti centres on the latter‟s claim to have    .,assisted Meka in getting the medal,eaten the entire entrails of a sheep,eaten more than his share of the food,been in a white man‟s office,C,2010,
Literature In English,Meka can be best be described as  .,an egocentric old man,a simple-hearted old man,an impulsive old man,an old religious bigot,D,2010,
Literature In English,"In the novel, the colonialists treat  the Africans with   .",Kids‟ gloves,disdain,indifference,"honour 
 
Questions 17 to 20 are based on 
George Orwell's Nineteen Eighty-four",B,2010,
Literature In English,The Ministry of peace is concerned with  making _.,instruments,weapons,wars,reconciliation,D,2010,
